shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
00001,246,17.773310838348,46.362667510924
00001,247,17.773134126469,46.36272125472
00001,248,17.772961336906,46.362780876663
00001,249,17.772625154734,46.362914916663
00001,250,17.771806399026,46.363259500979
00001,251,17.771172775441,46.36353750084
00001,252,17.770866744276,46.363667026851
00001,253,17.770726283319,46.363733267183
00001,254,17.770601216049,46.363801157709
00001,255,17.770489448277,46.363856194955
00001,256,17.770338496138,46.363919504423
00001,257,17.770320960076,46.36393976036
00001,258,17.770320960076,46.36393976036
00001,259,17.770334178938,46.363964722541
00001,260,17.770307133987,46.363974889574
00001,261,17.770251567702,46.363988951058
00001,262,17.770073782227,46.364019060425
00001,263,17.769984647825,46.364044339518
00001,264,17.76979462313,46.364111141987
00001,265,17.769557696447,46.364203420203
00001,266,17.768045317706,46.364818396724
